"Reference","Qty","Value","Footprint","Description"
"BR1","1","Diotec KBPC3506WP","Diode_THT:Diode_Bridge_28.6x28.6x7.3mm_P18.0mm_P11.6mm","Glass Passivated Single-Phase Bridge Rectifier, 70V Vrms, 1.5A If, WOG package"
"C1","1","4.7u","Capacitor_THT:CP_Radial_D10.0mm_P3.50mm","Polarized capacitor"
"C2,C4,C6","3","100p","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor"
"C3,C5,C10,C11","4","100u","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","Polarized capacitor"
"C7,C8,C18","3","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor"
"C12,C13","2","100n","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm","Unpolarized capacitor"
"C14,C15,C16,C17","4","4700u","Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn","Polarized capacitor"
"D1","1","LED","LED_THT:LED_D5.0mm","Light emitting diode"
"F1,F2","2","3A","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","Fuse"
"J1","1","AUDIO IN","Connector_Wire:SolderWire-6sqmm_1x01_D3.5mm_OD7mm","Generic connector, single row, 01x01, script generated"
"J2,Jw1","2","GND","Connector_Wire:SolderWire-6sqmm_1x01_D3.5mm_OD7mm","Generic connector, single row, 01x01, script generated"
"J3,J10","2","+35V","Connector_Wire:SolderWire-0.127sqmm_1x01_D0.48mm_OD1mm","Generic connector, single row, 01x01, script generated"
"J4,J11","2","-35V","Connector_Wire:SolderWire-0.127sqmm_1x01_D0.48mm_OD1mm","Generic connector, single row, 01x01, script generated"
"J5","1","SPEAKER OUT","Connector_Wire:SolderWire-6sqmm_1x01_D3.5mm_OD7mm","Generic connector, single row, 01x01, script generated"
"J6","1","V+","Connector_Wire:SolderWire-6sqmm_1x01_D3.5mm_OD7mm","Generic connector, single row, 01x01, script generated"
"J7","1","COM","Connector_Wire:SolderWire-6sqmm_1x01_D3.5mm_OD7mm","Generic connector, single row, 01x01, script generated"
"J8","1","V-","Connector_Wire:SolderWire-6sqmm_1x01_D3.5mm_OD7mm","Generic connector, single row, 01x01, script generated"
"J9","1","GND","Connector_Wire:SolderWire-0.127sqmm_1x01_D0.48mm_OD1mm","Generic connector, single row, 01x01, script generated"
"Q1,Q2,Q3,Q9","4","BC546","Package_TO_SOT_THT:TO-92_Inline","0.1A Ic, 65V Vce, Small Signal NPN Transistor, TO-92"
"Q4,Q6","2","BD140 MJE15035","Package_TO_SOT_THT:TO-126-3_Vertical","1.5A Ic, 80V Vce, Low Voltage Transistor, TO-126"
"Q5","1","BD139 MJE15034","Package_TO_SOT_THT:TO-126-3_Vertical","1.5A Ic, 80V Vce, Low Voltage Transistor, TO-126"
"Q7","1","2SA1943-O","Package_TO_SOT_THT:TO-3P-3_Vertical","PNP transistor, base/collector/emitter"
"Q8","1","2SC5200-O","Package_TO_SOT_THT:TO-3P-3_Vertical","NPN transistor, base/collector/emitter"
"R1,R3,R4,R16","4","1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor, US symbol"
"R2,R5,R8","3","22K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor, US symbol"
"R6,R7","2","560","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor, US symbol"
"R9,R10,R11","3","3K3","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor, US symbol"
"R12","1","220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor, US symbol"
"R13,R14","2","0R33","Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal","Resistor, US symbol"
"R15","1","10","Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal","Resistor, US symbol"
"VR1","1","2K","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical","Trim-potentiometer, US symbol"
