"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"BR1","1","1.5A","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_THT:Diode_Bridge_Round_D9.8mm","https://www.vishay.com/docs/88769/woo5g.pdf"
"C1","1","2200u","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm",""
"C2,C3,C6,C8","4","100n","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C4","1","100u","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C5,C7","2","4.7u","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"D2,D3,D4,D5","4","BAT85","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D6,D7","2","1N4007","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1","1","AC1","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Wire:SolderWire-6sqmm_1x01_D3.5mm_OD7mm",""
"J3","1","AC2","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Wire:SolderWire-6sqmm_1x01_D3.5mm_OD7mm",""
"J5","1","AMP_OUT_L","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Wire:SolderWire-6sqmm_1x01_D3.5mm_OD7mm",""
"J6","1","AMP_OUT_R","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Wire:SolderWire-6sqmm_1x01_D3.5mm_OD7mm",""
"J8","1","SPEAKER_OUT_L","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Wire:SolderWire-6sqmm_1x01_D3.5mm_OD7mm",""
"J10","1","SPEAKER_OUT_R","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Wire:SolderWire-6sqmm_1x01_D3.5mm_OD7mm",""
"K1,K2","2","G2RL-1A-E DC12","","","","","${EXCLUDE_FROM_POS_FILES}","G2RL-1A-E-DC12_CORRECT:Relay_SPST_Omron_G2RL-1A-E","G2RL-1A-E DC12"
"LED1","1","TEMP SENSOR 2 FAIL","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D5.0mm",""
"LED2","1","TEMP SENSOR 1 FAIL","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D5.0mm",""
"LED3","1","DC FAULT","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D5.0mm",""
"LED4","1","WAIT / DELAY","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D5.0mm",""
"LED5","1","OVERHEAT LED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D5.0mm",""
"Q1,Q2","2","BC337","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-92_Inline","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf"
"R1,R5","2","150K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R2,R3,R6,R7,R9,R10,R11,R12,R13,R14","10","10K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R4,R8,R15,R16","4","4.7K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R17,R18,R19,R20,R21","5","470","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"SW1","1","MUTE / ENABLE","","","","","${EXCLUDE_FROM_POS_FILES}","Button_Switch_THT:SW_PUSH_6mm_H5mm","https://www.apem.com/medias/download/MEC_switches_serie_MULTIMEC5G.pdf"
"SW2","1","FAULT RESET","","","","","${EXCLUDE_FROM_POS_FILES}","Button_Switch_THT:SW_PUSH_6mm_H5mm","https://www.apem.com/medias/download/MEC_switches_serie_MULTIMEC5G.pdf"
"T1","1","FS24-1500-C2","","","","","${EXCLUDE_FROM_POS_FILES}","FS24-1500-C2:TRANSFORMER_FS24-1500-C2",""
"TH1,TH2","2","10K NTC","","","","","${EXCLUDE_FROM_POS_FILES}","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",""
"U1","1","LM7812","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/ua78.pdf"
"U2","1","NUCLEO-G031K8","","","","","${EXCLUDE_FROM_POS_FILES}","NUCLEO-G031K8:NUCLEO-G031K8",""
